Team,Games,MSE_D1,MSE_D2,MSE_D3,Best_Degree
ATL,52,45.821057717553124,47.096612384992106,47.16912560669996,1
BKN,54,50.53897991491708,54.28295395242917,56.409142551245395,1
BOS,55,77.868820237273,74.45955462138423,76.15963152963128,2
CHA,52,56.52235680796714,57.05606207077214,62.9022079507145,1
CHI,55,81.46294518164504,82.89845209993683,429.4964461048141,1
CLE,52,54.31980063882558,52.422058606344685,102.02853474642919,2
DAL,61,44.643939581733164,44.382282863507356,44.73712055413313,2
DEN,54,73.33001249689252,80.69834610322995,97.0229878256966,1
DET,55,49.88056683095038,53.44343636426047,56.29565113644581,1
GSW,52,81.44767572163013,84.63995488739025,108.42106694161532,1
HOU,46,57.321406925347766,55.38560872034806,65.66219632467444,2
IND,60,62.90492968888937,61.99278508688455,56.87679540731989,3
LAC,50,39.446141501952596,40.22296351913106,42.35543029342196,1
LAL,58,48.69082715879743,55.26149985756533,62.0826442673476,1
MEM,51,46.99170172029415,48.13703644393089,71.18916545586679,1
MIA,60,75.19542625025005,73.94696487569556,90.13076456698363,2
MIL,59,43.80435214552706,43.93424707691394,46.99447921069992,1
MIN,59,63.17892590368198,67.82925631859766,95.7036414326841,1
NOP,53,70.32903997873493,68.25532474680556,70.16002753385305,2
NYK,58,57.50995930180708,68.77374663461231,60.635746843700225,1
OKC,56,86.59406991736697,92.97568116367756,105.27269725007704,1
ORL,48,80.9498798424373,77.13414891939257,80.04418076665934,2
PHI,60,48.32572956880868,50.182512283570524,63.38979327391719,1
PHX,55,39.29808459546782,41.41252180577937,45.469367998640514,1
POR,53,73.45362830127223,84.37093939989768,69.64739731665793,3
SAC,47,81.68563683166819,81.64817281359312,84.92006717742512,2
SAS,46,89.6507514249308,90.47873466177018,91.204440914951,1
TOR,60,59.97714401067735,68.22545819526069,58.01147673922905,3
UTA,47,79.1663702831926,78.73138044739281,75.19392748120362,3
WAS,54,43.95315588929022,48.08999622206206,47.14284347248365,1
